CODIGO;FOTO;DESCRIPCION DEL PRODUCTO;ACTIVO;STOCK;
510-4;N/D;"CUCHILLO STILLO MANGO BLANCO 9"" (KC47565)";S;13;
2070-1;N/D;"CUCHILLO STILLO MANGO NEGRO 7"" (KC49698)";S;22;
2066-4;N/D;DESENCRIPANTE LUBRIF.LUB FAST 300ML/150G;S;24;
512-8;N/D;DESENCRIPANTE LUBRIF.LUB M500 250ML/120G;S;41;
514-2;N/D;DESTORNILLADOR BUSCA POLO ECON. TL43870 *16;S;38;
201-1;N/D;DESTORNILLADOR BUSCA POLO LED TL43872;S;4;
515-9;N/D;DESTORNILLADOR BUSCA POLO LUXEP;S;195;
1784-8;N/D;DESTORNILLADOR CRUZ 4/POLEGADA;S;38;
1785-5;N/D;DESTORNILLADOR PLANO 4/POLEGADA;S;57;
1311-6;N/D;DESTORNILLADOR PUNTA DOBLE;S;10;
522-7;N/D;DETECTOR DE VOLTAGE TL43871;S;7;
1977-4;N/D;DISCO CORTE A€O MG LIGHT 115X1.2X22.23MM;S;1422;
2086-2;N/D;DISCO CORTE A€O MG PROFIC.115X1.2X22.23MM;S;600;
523-4;N/D;DISCO CORTE A€O NORTON PROFIC.115X1.0X22.23MM;S;68;
524-1;N/D;DISCO CORTE A€O NORTON STANDARD 115X1.0X22.23MM;S;294;
525-8;N/D;DISCO CORTE DIAMANTADO SECO 115MM 1.8X22.23 (TL33737);S;36;
526-5;N/D;DISCO CORTE DIAMANTADO TURBO 115MM 1.8X22.23 (TL33736);S;32;
527-2;N/D;DISCO CORTE MASTER 115X3.2X22.2MM;S;5;
1978-1;N/D;DISCO FLAP 115X22MM GRANO 40;S;96;
1979-8;N/D;DISCO FLAP 115X22MM GRANO 60;S;57;
1980-4;N/D;DISCO FLAP 115X22MM GRANO 80;S;131;
1893-7;N/D;DISCO PARA MADERA 24DT 115MM TL34521;S;24;
1825-8;N/D;DISCO PARA MADERA 40DT 115MM TL33770;S;30;
536-4;N/D;DISCO SIERRA CIRC, 110X22.23MM 24 DENTES FASCY;S;1;
542-5;N/D;DUCHA ELEC. FORUSSI STILLO 540W-220V;S;73;
546-3;N/D;ELETROUDO ITARENDY 2.50MM 13A COMUN;S;25;
547-0;N/D;ELETROUDO ITARENDY 3.25MM 13A COMUN;S;34;
550-0;N/D;ENCENDEDOR ISQUERO PORTATIL (HW59141);S;255;
551-7;N/D;ENDUIDO EXTERNO 15KG RESICOLOR;S;4;
552-4;N/D;ENDUIDO INT. 15KG AMANECER;S;5;
553-1;N/D;ENDUIDO INT. 15KG BLASCOR;S;3;
565-4;N/D;ESCUADRO 35CM TL36596;S;7;
567-8;N/D;ESCURRIDOR 30CM YASY;S;;
571-5;N/D;ESPATULA 2-1/2 FAMASTIL 60MM;S;11;
572-2;N/D;ESPATULA 3-0/0 FAMASTIL 80MM;S;9;
573-9;N/D;ESPATULA 4-0/0 FAMASTIL 100MM;S;14;
578-4;N/D;ESTA¥O PARA SOLDAR 1,00MM-120GR.;S;35;
1880-7;N/D;ESTILETE CUTTER 18MM CON RECARGA ECON.;S;24;
581-4;N/D;ESTILETE CUTTER SIMPLES 9MM;S;8;
2055-8;N/D;ESTUFA VENTILADOR LUXEP 200W;S;1;
1858-6;N/D;EXPRIMIDOR DE AJO (10005);S;27;
2032-9;N/D;EXPRIMIDOR DE AJO (10036);S;;
1996-5;N/D;EXPRIMIDOR DE AJO BIG (10019);S;21;
1861-6;N/D;EXPRIMIDOR DE LIMAO (10007);S;11;
585-2;N/D;EXTRACTOR DE AIRE;S;2;
589-0;N/D;FACA 30CM NF6327;S;1;
600-2;N/D;FICHA ADAPTADOR BOB ESPONJA 10A/20A;S;17;
601-9;N/D;FICHA ADAPTADOR MULTIPLE 10A;S;200;
603-3;N/D;FICHA ADAPTADORA NORMA ARGENTINA 2A3 *;S;206;
1779-4;N/D;FICHA ADAPTADORA UNIVERSAL GROS Y FINO NEGRO;S;262;
604-0;N/D;FICHA ADAPTARORA UNIVERSAL DE VIAJEN;S;200;
606-4;N/D;FICHA ENCHUFE HEMBRA 10A;S;66;
607-1;N/D;FICHA ENCHUFE MACHO 10A;S;340;
1959-0;N/D;FICHA HEMBRA TRAMONTINA (57412/952;S;163;
1958-3;N/D;FICHA MACHO TRAMONTINA (57412/901)*120;S;76;
